Tournament,Player,Nation,Age,Min,Market_value,Shot_Stopping_SoTA,Shot_Stopping_GA,Shot_Stopping_Saves,Shot_Stopping_Save%,Shot_Stopping_PSxG,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist
Premier League,Bernd Leno,de GER,30,89.0,10000000,4.4,1.35,3.08,70.4615,1.3075,3.465,10.945,32.098,27.13,5.39,27.0385,29.726500000000005,7.035,47.546499999999995,40.1105,13.285,0.66,5.09,1.19,14.2785
Premier League,Wayne Hennessey,wls WAL,34,89.10204081632654,500000,4.571428571428571,1.6142857142857143,2.9857142857142858,61.905714285714296,1.425714285714286,7.828571428571428,21.4,35.80714285714286,21.014285714285716,3.4857142857142858,66.37428571428572,46.668571428571425,8.528571428571428,89.31142857142858,64.51142857142857,16.757142857142856,0.8571428571428571,5.417142857142858,0.8142857142857143,11.764285714285714
Premier League,Keylor Navas,cr CRC,31,88.85185185185185,5000000,3.5,0.8611111111111112,2.6296296296296298,71.66666666666667,0.9731481481481481,2.1018518518518516,5.296296296296297,40.6175925925926,20.074074074074073,4.4907407407407405,17.21111111111111,27.65092592592593,6.138888888888889,26.21759259259259,31.699074074074073,10.601851851851851,0.23148148148148148,2.1796296296296296,0.9259259259259259,13.977777777777776
Premier League,Dean Henderson,eng ENG,25,89.296875,22000000,3.849056603773585,1.0566037735849056,2.7452830188679247,70.2820754716981,1.1377358490566036,5.820754716981132,19.349056603773583,29.381132075471704,22.433962264150942,3.9245283018867925,60.6066037735849,45.64622641509433,7.415094339622642,76.28962264150944,57.00094339622642,15.037735849056604,0.6698113207547169,4.982075471698113,0.9150943396226415,11.721698113207545
Premier League,Thomas Strakosha,al ALB,27,90.0,5000000,3.979020979020979,1.2097902097902098,2.797202797202797,71.23636363636363,1.2664335664335666,4.664335664335664,10.748251748251748,44.54965034965035,25.0,4.433566433566433,33.83846153846154,32.30419580419581,7.111888111888112,29.474825174825174,31.54895104895105,12.51048951048951,0.3776223776223776,2.790909090909091,0.7062937062937062,12.923076923076923
Premier League,David Raya,es ESP,26,90.0,22000000,4.910714285714286,1.2678571428571428,3.6785714285714284,72.39999999999999,1.2321428571428572,9.160714285714286,22.0,43.198214285714286,36.19642857142857,5.071428571428571,46.425000000000004,37.464285714285715,8.053571428571429,66.41250000000001,49.84285714285714,15.821428571428571,1.3214285714285714,9.216071428571428,1.5714285714285714,14.680357142857142
Premier League,Jason Steele,eng ENG,31,90.0,600000,5.0,2.0,3.0,60.0,1.6,2.0,6.0,33.3,32.0,2.0,9.4,23.9,6.0,50.0,40.0,16.0,0.0,0.0,0.0,9.3
Premier League,Robert Sánchez,es ESP,24,89.9873417721519,32000000,3.6370967741935485,1.1612903225806452,2.524193548387097,69.31209677419355,1.0338709677419353,4.612903225806452,14.693548387096774,32.601612903225806,33.685483870967744,4.596774193548387,33.974999999999994,34.01532258064517,6.298387096774194,52.91209677419354,42.762903225806454,12.911290322580646,1.1048387096774193,8.220967741935484,0.9838709677419355,13.674193548387096
Premier League,Sam Johnstone,eng ENG,27,90.0,6000000,6.258620689655173,2.0,4.310344827586207,71.78103448275863,1.8603448275862067,8.0,24.448275862068964,33.515517241379314,26.620689655172413,4.655172413793103,65.13103448275862,45.77758620689655,8.086206896551724,84.75172413793103,56.23448275862069,17.74137931034483,0.5689655172413793,2.886206896551724,1.0344827586206897,13.408620689655173
Premier League,Vicente Guaita,es ESP,35,89.46470588235294,1500000,4.026717557251908,1.248091603053435,2.7938931297709924,68.12442748091603,1.1473282442748092,5.5,16.568702290076335,34.64160305343512,22.14885496183206,4.465648854961832,48.72175572519083,38.124427480916026,7.950381679389313,70.39923664122136,49.33473282442748,15.129770992366412,0.6603053435114504,4.320992366412213,0.8664122137404581,11.6587786259542
