Tournament,Player,Number,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_Prog,Passes_Succ,Dribbles_Att
Premier League,Léo Bonatini,33.0,br BRA,FW,24,19.285714285714285,0.0,0.14285714285714285,0.0,0.0,1.2857142857142858,0.14285714285714285,0.0,0.0,11.285714285714286,0.14285714285714285,0.0,0.14285714285714285,0.17142857142857143,0.17142857142857143,0.028571428571428574,1.1428571428571428,0.42857142857142855,6.428571428571429,8.714285714285714,67.02857142857142,0.7142857142857143,0.14285714285714285,0.42857142857142855
Premier League,Eden Hazard,10.0,be BEL,LW,27,63.68852459016394,0.26229508196721313,0.20491803278688525,0.04918032786885246,0.05737704918032787,1.639344262295082,0.8032786885245902,0.04918032786885246,0.0,46.868852459016395,0.29508196721311475,0.22131147540983606,0.26229508196721313,0.1959016393442623,0.15081967213114753,0.18442622950819673,4.590163934426229,0.5491803278688525,32.52459016393443,39.66393442622951,83.21885245901639,3.1721311475409837,3.2131147540983607,4.344262295081967
Premier League,Ben Hamer,12.0,eng ENG,GK,30,75.18181818181819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.363636363636363,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,13.818181818181818,26.363636363636363,55.16363636363636,0.0,0.0,0.0
Premier League,Christopher Schindler,26.0,de GER,CB,28,87.52,0.013333333333333334,0.013333333333333334,0.0,0.0,0.32,0.04,0.2,0.04,51.82666666666667,1.96,1.9466666666666668,1.64,0.03733333333333333,0.03733333333333333,0.03333333333333333,0.41333333333333333,0.02666666666666667,32.42666666666667,39.626666666666665,79.19200000000001,1.4933333333333334,0.04,0.05333333333333334
Premier League,Florent Hadergjonaj,33.0,xk KVX,WB,24,74.80851063829788,0.0,0.02127659574468085,0.0,0.0,0.2978723404255319,0.0851063829787234,0.0851063829787234,0.0,46.723404255319146,1.0851063829787233,0.8085106382978723,0.9148936170212766,0.00851063829787234,0.00851063829787234,0.061702127659574474,1.7446808510638299,0.02127659574468085,27.29787234042553,40.42553191489362,65.28297872340426,2.382978723404255,0.5531914893617021,1.0638297872340425
Premier League,Adama Diakhaby,11.0,fr FRA,WB,22,41.23529411764706,0.058823529411764705,0.08823529411764706,0.0,0.0,0.5588235294117647,0.20588235294117646,0.08823529411764706,0.029411764705882353,16.61764705882353,0.8529411764705882,0.4117647058823529,0.5882352941176471,0.08529411764705884,0.08529411764705884,0.03235294117647059,0.9117647058823529,0.14705882352941177,7.470588235294118,10.970588235294118,58.20882352941176,0.29411764705882354,0.5,1.3529411764705883
Premier League,Chris Löwe,15.0,de GER,WB,29,70.09615384615384,0.0,0.038461538461538464,0.0,0.0,0.5,0.15384615384615385,0.057692307692307696,0.0,44.96153846153846,1.4807692307692308,1.0961538461538463,0.8076923076923077,0.01730769230769231,0.01730769230769231,0.04423076923076923,1.1346153846153846,0.11538461538461539,26.307692307692307,38.01923076923077,66.70576923076922,1.4038461538461537,0.2692307692307692,0.40384615384615385
Premier League,Jonathan Hogg,6.0,eng ENG,"CM,DM",29,80.7457627118644,0.0,0.01694915254237288,0.0,0.0,0.3389830508474576,0.05084745762711865,0.3050847457627119,0.03389830508474576,60.49152542372882,2.8983050847457625,2.406779661016949,1.6440677966101696,0.010169491525423728,0.010169491525423728,0.015254237288135594,1.2033898305084745,0.03389830508474576,42.28813559322034,50.49152542372882,82.27288135593221,3.2711864406779663,0.288135593220339,0.3898305084745763
Premier League,Laurent Depoitre,20.0,be BEL,FW,29,51.57142857142857,0.10714285714285714,0.03571428571428571,0.0,0.0,0.9821428571428571,0.32142857142857145,0.03571428571428571,0.0,20.178571428571427,0.35714285714285715,0.23214285714285715,0.42857142857142855,0.10892857142857142,0.10892857142857142,0.0375,0.9464285714285714,0.125,7.839285714285714,13.642857142857142,55.76607142857143,0.5535714285714286,0.30357142857142855,0.7321428571428571
Premier League,Alex Pritchard,21.0,eng ENG,FW,25,69.97727272727273,0.06818181818181818,0.022727272727272728,0.0,0.0,1.5227272727272727,0.38636363636363635,0.06818181818181818,0.0,40.54545454545455,1.2272727272727273,0.5,0.7272727272727273,0.08863636363636365,0.08863636363636365,0.0818181818181818,3.0681818181818183,0.18181818181818182,21.59090909090909,31.227272727272727,69.0340909090909,1.9090909090909092,0.9772727272727273,1.8409090909090908
