Tournament,Player,Nation,Age,Min,Shot_Stopping_SoTA,Shot_Stopping_GA,Shot_Stopping_Saves,Shot_Stopping_Save%,Shot_Stopping_PSxG,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist
La Liga,Diego Conde,es ESP,23,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,100.0,61.0,2.0,100.0,68.0,5.0,1.0,20.0,0.0,5.0
La Liga,Javier Díaz,es ESP,24,90.0,2.0,1.0,1.0,75.0,0.8999999999999999,4.0,10.5,38.65,24.5,2.0,32.35,32.2,4.0,73.35,51.45,13.0,0.5,2.95,0.0,11.1
La Liga,Jaume Doménech,es ESP,31,89.23214285714286,4.571428571428571,1.3392857142857142,3.25,71.87500000000001,1.2767857142857142,6.964285714285714,15.607142857142858,43.28750000000001,21.732142857142858,4.053571428571429,43.1875,35.489285714285714,8.410714285714286,69.64821428571429,48.88035714285714,16.5,0.375,2.585714285714286,0.5892857142857143,11.008928571428571
La Liga,Joan García,es ESP,20,54.0,1.5,1.5,0.0,0.0,0.5,2.0,5.0,37.5,16.0,4.5,41.050000000000004,35.8,1.0,50.0,35.5,8.0,0.0,0.0,2.5,18.5
La Liga,Leonardo Román,es ESP,21,90.0,7.0,2.5,5.0,70.85,1.8,4.5,13.5,32.5,25.5,3.5,39.8,34.5,8.0,43.65,36.2,18.0,0.5,2.95,2.5,20.9
La Liga,Jesús Owono,gq EQG,20,90.0,4.0,1.0,3.0,75.0,0.8,9.0,21.0,42.9,20.0,2.0,90.0,53.3,3.0,100.0,68.3,8.0,0.0,0.0,2.0,17.6
La Liga,Juan Pérez,es ESP,25,90.0,3.0,1.2857142857142858,1.8571428571428572,54.285714285714285,0.942857142857143,5.714285714285714,17.0,34.614285714285714,20.0,3.4285714285714284,50.82857142857142,42.214285714285715,7.428571428571429,82.14285714285714,58.65714285714286,12.571428571428571,0.14285714285714285,1.3,1.8571428571428572,11.471428571428572
La Liga,Dominik Greif,sk SVK,24,90.0,6.0,3.0,3.0,50.0,1.5,1.0,10.0,10.0,21.0,6.0,33.3,34.1,10.0,30.0,32.7,13.0,0.0,0.0,1.0,12.5
La Liga,Jasper Cillessen,nl NED,32,87.50909090909092,4.581818181818182,1.3636363636363635,3.2,74.16181818181818,1.3254545454545457,5.4363636363636365,14.945454545454545,37.481818181818184,22.345454545454544,4.781818181818182,43.67272727272727,36.592727272727274,7.781818181818182,61.654545454545456,48.18545454545456,14.581818181818182,0.2727272727272727,1.7745454545454544,0.8,12.405454545454544
La Liga,Antonio Sivera,es ESP,25,79.16666666666667,3.0,0.9166666666666666,2.0833333333333335,50.53333333333333,0.8916666666666666,8.333333333333334,19.75,41.458333333333336,17.833333333333332,2.9166666666666665,69.175,46.45000000000001,9.333333333333334,85.075,57.38333333333333,16.333333333333332,0.5,5.5,0.5,8.991666666666665
La Liga,Cárdenas,es ESP,24,90.0,4.96875,1.78125,3.1875,62.662499999999994,1.6531250000000002,3.90625,12.03125,32.921875,22.75,3.9375,40.79375,35.846875,8.03125,33.55,33.475,14.28125,0.375,3.4499999999999993,1.3125,14.93125
La Liga,Rúben Vezo,pt POR,27,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,3.0,0.0,100.0,57.0,1.0,100.0,65.0,4.0,0.0,0.0,0.0,0.0
La Liga,Julen Agirrezabala,es ESP,20,90.0,5.0,1.25,3.75,78.275,1.25,3.25,7.75,46.95,14.0,3.0,32.4,32.475,6.5,49.05,37.6,12.0,0.25,2.275,1.5,20.125
La Liga,Aarón Escandell,es ESP,25,83.66666666666667,4.5,1.4166666666666667,3.0833333333333335,70.75000000000001,1.4500000000000002,8.083333333333334,22.916666666666668,37.55833333333334,26.333333333333332,4.0,68.48333333333333,46.875,8.0,75.81666666666668,54.775,12.083333333333334,0.5833333333333334,3.766666666666667,1.9166666666666667,13.491666666666667
